Time,HR
1.000000,71.646268
2.000000,72.906160
3.000000,72.163852
4.000000,73.097357
5.000000,74.085355
6.000000,74.153246
7.000000,74.025122
8.000000,75.042048
9.000000,75.127245
10.000000,75.062507
11.000000,74.754124
12.000000,76.044473
13.000000,75.144169
14.000000,75.823917
15.000000,76.059078
16.000000,75.656004
17.000000,76.237871
18.000000,75.390577
19.000000,76.170384
20.000000,75.811000
21.000000,75.152871
22.000000,74.911901
23.000000,74.560102
24.000000,74.652181
25.000000,74.458183
26.000000,73.700697
27.000000,72.773433
28.000000,73.156170
29.000000,73.031409
30.000000,71.852772
31.000000,71.945110
32.000000,71.311686
33.000000,70.994239
34.000000,70.537408
35.000000,70.582960
36.000000,68.963574
37.000000,69.686495
38.000000,69.412701
39.000000,69.433467
40.000000,68.459730
41.000000,68.280197
42.000000,68.031648
43.000000,68.250404
44.000000,68.242050
45.000000,67.678319
46.000000,67.524983
47.000000,68.179184
48.000000,68.328776
49.000000,68.530033
50.000000,68.084319
51.000000,67.730183
52.000000,68.680659
53.000000,69.274297
54.000000,69.933487
55.000000,69.990885
56.000000,70.083718
57.000000,70.247029
58.000000,71.789645
59.000000,71.857104
60.000000,73.427738
61.000000,72.106494
62.000000,72.715070
63.000000,72.508595
64.000000,73.512917
65.000000,74.055294
66.000000,73.875286
67.000000,74.455679
68.000000,74.917936
69.000000,75.497141
70.000000,76.052701
71.000000,75.014073
72.000000,75.922477
73.000000,75.768953
74.000000,75.317247
75.000000,76.011508
76.000000,75.468511
77.000000,76.774086
78.000000,75.113432
79.000000,75.777020
80.000000,75.743468
81.000000,75.125707
82.000000,74.683201
83.000000,73.534789
84.000000,74.002893
85.000000,73.837184
86.000000,73.142804
87.000000,72.823628
88.000000,72.692935
89.000000,72.222017
90.000000,71.724469
91.000000,71.726721
92.000000,70.741534
93.000000,70.495109
94.000000,70.025459
95.000000,69.001372
96.000000,69.218949
97.000000,69.915683
98.000000,69.446204
99.000000,68.401398
100.000000,68.874026
101.000000,68.348236
102.000000,68.403253
103.000000,67.742367
104.000000,67.770124
105.000000,67.778082
106.000000,68.529531
107.000000,67.979444
108.000000,67.913030
109.000000,68.385751
110.000000,68.196909
111.000000,68.191568
112.000000,69.938668
113.000000,69.958125
114.000000,69.686283
115.000000,70.145006
116.000000,70.542187
117.000000,70.532702
118.000000,71.559120
119.000000,71.643876
120.000000,72.442049
121.000000,72.014222
122.000000,72.038851
123.000000,72.433097
124.000000,73.858090
125.000000,74.633416
