Time,RESP,PLETH
1.000000,-0.046314,0.117116
2.000000,0.055787,0.190528
3.000000,0.026299,0.270564
4.000000,0.105116,0.379152
5.000000,0.103881,0.505182
6.000000,0.111984,0.487168
7.000000,0.093615,0.641864
8.000000,0.115811,0.657939
9.000000,0.095764,0.760509
10.000000,0.088000,0.807012
11.000000,0.154789,0.852347
12.000000,0.146990,0.978603
13.000000,0.170597,0.998045
14.000000,0.226522,1.025607
15.000000,0.137970,1.095414
16.000000,0.163251,1.085746
17.000000,0.176836,1.132533
18.000000,0.230154,1.112699
19.000000,0.226128,1.116044
20.000000,0.242999,1.174717
21.000000,0.339827,1.110761
22.000000,0.182439,1.178049
23.000000,0.221275,1.124029
24.000000,0.292041,1.064668
25.000000,0.257164,1.077812
26.000000,0.337063,1.093232
27.000000,0.277065,1.020566
28.000000,0.344772,1.010765
29.000000,0.303029,0.927864
30.000000,0.374970,0.944477
31.000000,0.424380,0.915204
32.000000,0.310834,0.824383
33.000000,0.389099,0.766425
34.000000,0.416038,0.735251
35.000000,0.520612,0.691661
36.000000,0.314486,0.637427
37.000000,0.432620,0.625265
38.000000,0.442932,0.535586
39.000000,0.517636,0.515560
40.000000,0.441347,0.543836
41.000000,0.580739,0.428505
42.000000,0.408451,0.438643
43.000000,0.516822,0.395626
44.000000,0.649943,0.261990
45.000000,0.526003,0.346107
46.000000,0.514716,0.236322
47.000000,0.544269,0.217187
48.000000,0.602396,0.234555
49.000000,0.646228,0.157611
50.000000,0.635503,0.132387
51.000000,0.555931,0.068117
52.000000,0.590294,0.088672
53.000000,0.618506,0.014131
54.000000,0.743257,0.060046
55.000000,0.614642,-0.007988
56.000000,0.717198,0.007069
57.000000,0.577585,-0.027398
58.000000,0.634777,-0.123842
59.000000,0.707653,-0.134711
60.000000,0.705995,-0.184019
61.000000,0.721609,-0.188182
62.000000,0.695800,-0.266552
63.000000,0.725396,-0.249152
64.000000,0.618268,-0.345481
65.000000,0.685654,-0.374707
66.000000,0.685594,-0.390798
67.000000,0.673055,-0.431132
68.000000,0.794788,-0.472223
69.000000,0.782481,-0.520593
70.000000,0.729714,-0.554099
71.000000,0.640716,-0.654678
72.000000,0.781788,-0.658805
73.000000,0.782824,-0.669835
74.000000,0.836079,-0.768062
75.000000,0.773713,-0.846644
76.000000,0.831343,-0.822373
77.000000,0.835356,-0.818090
78.000000,0.817304,-0.846308
79.000000,0.815525,-0.939962
80.000000,0.863947,-0.920094
81.000000,0.797517,-0.914519
82.000000,0.925739,-0.950201
83.000000,0.824557,-0.964791
84.000000,0.936289,-0.953646
85.000000,0.886282,-0.908639
86.000000,0.779206,-0.972218
87.000000,0.853485,-0.969287
88.000000,0.946337,-0.886138
89.000000,0.907566,-0.923802
90.000000,0.855176,-0.860527
91.000000,0.981456,-0.836706
92.000000,0.937079,-0.758637
93.000000,0.880923,-0.716009
94.000000,0.941278,-0.671462
95.000000,0.952220,-0.623761
96.000000,0.890298,-0.495108
97.000000,0.952747,-0.435904
98.000000,0.823470,-0.288658
99.000000,0.948381,-0.347053
100.000000,1.026080,-0.214293
101.000000,0.933902,-0.135371
102.000000,0.950512,-0.060804
103.000000,1.038983,0.050705
104.000000,0.922088,0.164604
105.000000,0.880392,0.221867
106.000000,0.908668,0.331188
107.000000,0.944230,0.420827
108.000000,1.020119,0.477429
109.000000,0.873091,0.617510
110.000000,0.930359,0.636662
111.000000,0.993674,0.751817
112.000000,1.063131,0.866794
113.000000,0.889344,0.925021
114.000000,0.944179,0.947882
115.000000,0.974244,1.038272
116.000000,0.979960,1.055217
117.000000,0.978391,1.137565
118.000000,1.025376,1.173123
119.000000,0.975499,1.215394
120.000000,1.007504,1.229229
121.000000,0.977776,1.229951
122.000000,1.058709,1.225557
123.000000,0.941016,1.218792
124.000000,1.041161,1.279479
125.000000,1.034347,1.250286
126.000000,1.034207,1.244805
127.000000,0.948690,1.221414
128.000000,0.947139,1.167108
129.000000,0.953156,1.228861
130.000000,0.966691,1.166393
131.000000,0.948118,1.090651
132.000000,1.039287,1.040373
133.000000,0.996553,1.014509
134.000000,0.850898,0.990867
135.000000,0.916384,0.920277
136.000000,0.967847,0.954524
137.000000,0.986553,0.881916
138.000000,0.949453,0.776744
139.000000,0.882413,0.724764
140.000000,0.994228,0.703611
141.000000,0.859265,0.668114
142.000000,1.000378,0.607000
143.000000,0.960733,0.570376
144.000000,0.969033,0.560516
145.000000,0.970023,0.493645
146.000000,1.023073,0.424771
147.000000,1.036800,0.383790
148.000000,0.972510,0.355559
149.000000,0.976175,0.344891
150.000000,0.953105,0.316531
151.000000,0.969229,0.326524
152.000000,0.946190,0.197627
153.000000,1.026997,0.220951
154.000000,0.969683,0.165136
155.000000,0.889706,0.116921
156.000000,0.911339,0.076021
157.000000,0.951560,0.119694
158.000000,0.805934,0.006511
159.000000,0.930875,0.000153
160.000000,0.904279,-0.001686
161.000000,0.901940,0.007092
162.000000,0.939311,-0.041963
163.000000,0.832218,-0.096104
164.000000,0.790212,-0.130424
165.000000,0.846568,-0.125344
166.000000,0.887902,-0.240018
167.000000,0.916597,-0.203332
168.000000,0.849180,-0.288677
169.000000,0.866837,-0.346299
170.000000,0.871523,-0.399603
171.000000,0.882446,-0.438583
172.000000,0.835890,-0.447572
173.000000,0.781541,-0.559323
174.000000,0.832149,-0.520921
175.000000,0.769001,-0.657270
176.000000,0.882135,-0.688134
177.000000,0.846170,-0.690031
178.000000,0.745078,-0.753424
179.000000,0.705524,-0.752886
180.000000,0.749042,-0.828804
181.000000,0.783915,-0.890962
182.000000,0.835623,-0.927548
183.000000,0.720231,-0.944835
184.000000,0.726041,-1.009353
185.000000,0.698552,-0.978682
186.000000,0.664193,-0.978407
187.000000,0.721428,-1.015780
188.000000,0.695286,-0.973044
189.000000,0.601462,-0.986281
190.000000,0.692171,-1.036832
191.000000,0.657392,-0.931720
192.000000,0.688989,-0.939045
193.000000,0.656208,-0.931847
194.000000,0.650825,-0.871042
195.000000,0.583850,-0.808729
196.000000,0.654416,-0.792314
197.000000,0.547701,-0.767515
198.000000,0.651416,-0.649629
199.000000,0.448101,-0.616610
200.000000,0.563221,-0.500803
201.000000,0.666660,-0.480697
202.000000,0.628746,-0.416742
203.000000,0.502971,-0.291596
204.000000,0.533820,-0.189202
205.000000,0.579964,-0.156576
206.000000,0.507647,-0.037934
207.000000,0.468735,0.080246
208.000000,0.403291,0.145200
209.000000,0.481575,0.250371
210.000000,0.461046,0.317235
211.000000,0.450660,0.433357
212.000000,0.499119,0.509282
213.000000,0.440960,0.521616
214.000000,0.471001,0.657172
215.000000,0.429316,0.706869
216.000000,0.473315,0.817638
217.000000,0.423530,0.834602
218.000000,0.428843,0.904509
219.000000,0.402489,0.913418
220.000000,0.361604,1.009095
221.000000,0.317886,1.053705
222.000000,0.331447,1.048876
223.000000,0.419532,1.078562
224.000000,0.302956,1.130314
225.000000,0.332644,1.141635
226.000000,0.289635,1.183712
227.000000,0.345783,1.176244
228.000000,0.260736,1.142443
229.000000,0.246609,1.130620
230.000000,0.353715,1.126680
231.000000,0.217026,1.038617
232.000000,0.285925,1.033719
233.000000,0.246591,1.027201
234.000000,0.184082,1.023717
235.000000,0.163470,0.956465
236.000000,0.123175,0.902839
237.000000,0.075864,0.902670
238.000000,0.153244,0.876216
239.000000,0.170675,0.745659
240.000000,0.173925,0.703820
241.000000,0.183858,0.738163
242.000000,0.148833,0.657171
243.000000,0.134368,0.599199
244.000000,-0.005022,0.528665
245.000000,0.018062,0.474437
246.000000,0.037783,0.430075
247.000000,0.074915,0.360501
248.000000,0.061257,0.390972
249.000000,0.011174,0.391409
250.000000,-0.001535,0.276399
251.000000,-0.041456,0.235299
252.000000,-0.038665,0.196340
253.000000,-0.086058,0.196095
254.000000,-0.054045,0.125061
255.000000,-0.111609,0.167414
256.000000,-0.090744,0.124993
257.000000,-0.115392,0.022335
258.000000,-0.094060,0.004322
259.000000,-0.085684,-0.031248
260.000000,-0.150933,-0.070988
261.000000,-0.136231,-0.080073
262.000000,-0.154495,-0.134507
263.000000,-0.188260,-0.156453
264.000000,-0.154332,-0.229897
265.000000,-0.138914,-0.252247
266.000000,-0.189466,-0.270377
267.000000,-0.190072,-0.311170
268.000000,-0.254586,-0.380988
269.000000,-0.284423,-0.412754
270.000000,-0.182408,-0.388606
271.000000,-0.219757,-0.522737
272.000000,-0.349445,-0.495202
273.000000,-0.278434,-0.555028
274.000000,-0.295832,-0.639866
275.000000,-0.353161,-0.643818
276.000000,-0.319979,-0.679214
277.000000,-0.299573,-0.776612
278.000000,-0.340542,-0.754598
279.000000,-0.373008,-0.792526
280.000000,-0.379568,-0.846692
281.000000,-0.517144,-0.903228
282.000000,-0.364131,-0.981369
283.000000,-0.430867,-0.997918
284.000000,-0.395404,-1.105839
285.000000,-0.456138,-1.103855
286.000000,-0.524603,-1.147754
287.000000,-0.529025,-1.131509
288.000000,-0.449040,-1.185883
289.000000,-0.492738,-1.143266
290.000000,-0.489470,-1.233554
291.000000,-0.461957,-1.120741
292.000000,-0.534697,-1.138897
293.000000,-0.468759,-1.135266
294.000000,-0.541212,-1.122158
295.000000,-0.565825,-1.121232
296.000000,-0.580258,-1.032835
297.000000,-0.597460,-1.023522
298.000000,-0.555537,-1.055798
299.000000,-0.654240,-0.959913
300.000000,-0.647838,-0.939776
301.000000,-0.578767,-0.863255
302.000000,-0.660497,-0.741028
303.000000,-0.670248,-0.744958
304.000000,-0.585918,-0.677771
305.000000,-0.708222,-0.614342
306.000000,-0.694535,-0.490612
307.000000,-0.683945,-0.434386
308.000000,-0.641053,-0.334866
309.000000,-0.629031,-0.216682
310.000000,-0.668043,-0.182813
311.000000,-0.756858,-0.000075
312.000000,-0.726047,0.046595
313.000000,-0.584478,0.144410
314.000000,-0.724138,0.288475
315.000000,-0.652677,0.277261
316.000000,-0.748224,0.408214
317.000000,-0.807131,0.471878
318.000000,-0.797704,0.568905
319.000000,-0.742455,0.603203
320.000000,-0.721903,0.685108
321.000000,-0.782032,0.744792
322.000000,-0.835510,0.820596
323.000000,-0.761847,0.767854
324.000000,-0.752937,0.911469
325.000000,-0.761910,0.937512
326.000000,-0.819429,0.935308
327.000000,-0.945296,0.949234
328.000000,-0.750067,0.951226
329.000000,-0.785152,1.012932
330.000000,-0.838423,0.944123
331.000000,-0.895455,0.995467
332.000000,-0.808195,0.936763
333.000000,-0.799207,0.856598
334.000000,-0.915674,0.906895
335.000000,-0.871466,0.824645
336.000000,-0.975093,0.823760
337.000000,-0.796152,0.849343
338.000000,-0.933097,0.779216
339.000000,-0.886285,0.765646
340.000000,-0.828896,0.677165
341.000000,-0.896896,0.651401
342.000000,-0.852571,0.588687
343.000000,-0.887512,0.576999
344.000000,-0.901833,0.562069
345.000000,-0.961102,0.478786
346.000000,-0.954303,0.444648
347.000000,-0.927634,0.378659
348.000000,-0.900852,0.358734
349.000000,-0.944238,0.306251
350.000000,-0.959675,0.325110
351.000000,-1.100116,0.239053
352.000000,-0.968544,0.099920
353.000000,-1.012136,0.129761
354.000000,-0.987398,0.098683
355.000000,-1.002334,0.117674
356.000000,-0.963570,0.051604
357.000000,-0.951223,-0.011623
358.000000,-0.994184,-0.060653
359.000000,-1.028737,-0.088316
360.000000,-0.987315,-0.038030
361.000000,-1.017888,-0.092807
362.000000,-0.923635,-0.149695
363.000000,-1.019532,-0.185575
364.000000,-1.099582,-0.253127
365.000000,-1.105295,-0.254404
366.000000,-0.978619,-0.255445
367.000000,-1.055522,-0.349853
368.000000,-0.973117,-0.384354
369.000000,-0.985144,-0.334473
370.000000,-0.994742,-0.464597
371.000000,-1.068050,-0.486070
372.000000,-1.029530,-0.474420
373.000000,-0.949463,-0.560482
374.000000,-0.895929,-0.529397
375.000000,-1.064406,-0.609218
376.000000,-0.944731,-0.694995
377.000000,-0.978974,-0.785902
378.000000,-0.925595,-0.829471
379.000000,-0.915630,-0.812431
380.000000,-1.008549,-0.847021
381.000000,-0.939511,-0.937251
382.000000,-0.874422,-0.958513
383.000000,-1.083536,-0.980117
384.000000,-0.984814,-1.041658
385.000000,-1.001878,-1.117257
386.000000,-0.977626,-1.093920
387.000000,-0.899390,-1.179129
388.000000,-0.954958,-1.183340
389.000000,-0.933798,-1.184065
390.000000,-0.989217,-1.260635
391.000000,-0.942756,-1.309863
392.000000,-0.949973,-1.271905
393.000000,-0.906806,-1.260890
394.000000,-1.017203,-1.258253
395.000000,-0.882727,-1.258224
396.000000,-0.999232,-1.223138
397.000000,-0.927073,-1.178120
398.000000,-0.968280,-1.203405
399.000000,-0.906180,-1.115886
400.000000,-0.951142,-1.105454
401.000000,-0.824620,-1.067308
402.000000,-1.002350,-1.027600
403.000000,-0.943326,-0.936919
404.000000,-0.959786,-0.835508
405.000000,-0.899452,-0.827285
406.000000,-1.019244,-0.766494
407.000000,-0.935649,-0.637723
408.000000,-0.834973,-0.589196
409.000000,-0.883416,-0.496814
410.000000,-0.854120,-0.412570
411.000000,-0.957770,-0.330688
412.000000,-0.861622,-0.193242
413.000000,-0.858293,-0.088291
414.000000,-0.817335,0.018035
415.000000,-0.859424,0.112449
416.000000,-0.893605,0.215462
417.000000,-0.847904,0.250247
418.000000,-0.934162,0.372924
419.000000,-0.862610,0.454224
420.000000,-0.863516,0.460335
421.000000,-0.826159,0.589337
422.000000,-0.762324,0.649749
423.000000,-0.841159,0.715394
424.000000,-0.856647,0.762355
425.000000,-0.753826,0.811322
426.000000,-0.882847,0.868236
427.000000,-0.815696,0.885350
428.000000,-0.671075,0.916483
429.000000,-0.744242,0.889191
430.000000,-0.757708,0.992197
431.000000,-0.894238,0.924775
432.000000,-0.838133,1.006454
433.000000,-0.714275,1.001100
434.000000,-0.774796,1.021372
435.000000,-0.798617,1.001062
436.000000,-0.744807,0.961392
437.000000,-0.787199,0.882306
438.000000,-0.631005,0.875901
439.000000,-0.695476,0.895367
440.000000,-0.682906,0.829249
441.000000,-0.649190,0.823975
442.000000,-0.679544,0.773793
443.000000,-0.697895,0.693748
444.000000,-0.619595,0.685928
445.000000,-0.639160,0.657887
446.000000,-0.646613,0.586695
447.000000,-0.653669,0.531444
448.000000,-0.657859,0.489698
449.000000,-0.646313,0.493096
450.000000,-0.585700,0.408215
451.000000,-0.605517,0.342464
452.000000,-0.586064,0.371397
453.000000,-0.600349,0.271706
454.000000,-0.620879,0.240818
455.000000,-0.502778,0.219951
456.000000,-0.556923,0.155089
457.000000,-0.506663,0.116844
458.000000,-0.523204,0.172960
459.000000,-0.484827,0.086861
460.000000,-0.479340,-0.000495
461.000000,-0.428609,-0.008637
